school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3,Walc_bin
GP,F,18,Urban,GT3,alone,higher education,higher education,at_home,teacher,course,mother,15-30 min,2-5 hrs,0,yes,no,no,no,yes,yes,no,no,good,moderate,high,very low,moderate,6,5,6,6,no
GP,F,17,Urban,GT3,together,4th grade,4th grade,at_home,other,course,father,<15 min,2-5 hrs,0,no,yes,no,no,no,yes,yes,no,excellent,moderate,moderate,very low,moderate,4,5,5,6,no
GP,F,15,Urban,LE3,together,4th grade,4th grade,at_home,other,other,mother,<15 min,2-5 hrs,3,yes,no,yes,no,yes,yes,yes,no,good,moderate,low,low,moderate,10,7,8,10,yes
GP,F,15,Urban,GT3,together,higher education,5th - 9th grade,health,services,home,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,moderate,low,low,very low,very good,2,15,14,15,no
GP,F,16,Urban,GT3,together,secondary education,secondary education,other,other,home,father,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,no,no,good,moderate,low,very low,very good,4,6,10,10,yes
GP,M,16,Urban,LE3,together,higher education,secondary education,services,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,high,low,very low,very good,10,15,15,15,yes
GP,M,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,<15 min,2-5 hrs,0,no,no,no,no,yes,yes,yes,no,good,high,high,very low,moderate,0,12,12,11,no
GP,F,17,Urban,GT3,alone,higher education,higher education,other,teacher,home,mother,15-30 min,2-5 hrs,0,yes,yes,no,no,yes,yes,no,no,good,very low,high,very low,very bad,6,6,5,6,no
GP,M,15,Urban,LE3,alone,secondary education,5th - 9th grade,services,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,low,low,very low,very bad,0,16,18,19,no
GP,M,15,Urban,GT3,together,secondary education,higher education,other,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,very high,very low,very low,very good,0,14,15,15,no
GP,F,15,Urban,GT3,together,higher education,higher education,teacher,health,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,moderate,moderate,moderate,very low,bad,0,10,8,9,yes
GP,F,15,Urban,GT3,together,5th - 9th grade,4th grade,services,other,reputation,father,30 min - 1 hr,5-10 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,low,low,very low,good,4,10,12,12,no
GP,M,15,Urban,LE3,together,higher education,higher education,health,services,course,father,<15 min,<2 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,moderate,moderate,very low,very good,2,14,14,14,yes
GP,M,15,Urban,GT3,together,higher education,secondary education,teacher,other,course,mother,15-30 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,excellent,high,moderate,very low,moderate,2,10,10,11,yes
GP,M,15,Urban,GT3,alone,5th - 9th grade,5th - 9th grade,other,other,home,other,<15 min,5-10 hrs,0,no,yes,no,no,yes,yes,yes,yes,good,very high,low,very low,moderate,0,14,16,16,no
GP,F,16,Urban,GT3,together,higher education,higher education,health,other,home,mother,<15 min,<2 hrs,0,no,yes,no,no,yes,yes,yes,no,good,high,high,very low,bad,4,14,14,14,yes
GP,F,16,Urban,GT3,together,higher education,higher education,services,services,reputation,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,no,moderate,low,moderate,very low,bad,6,13,14,14,yes
GP,F,16,Urban,GT3,together,secondary education,secondary education,other,other,reputation,mother,30 min - 1 hr,2-5 hrs,0,yes,yes,no,yes,yes,yes,no,no,excellent,moderate,low,very low,good,4,8,10,10,no
GP,M,17,Urban,GT3,together,secondary education,5th - 9th grade,services,services,course,mother,<15 min,<2 hrs,3,no,yes,no,yes,yes,yes,yes,no,excellent,very high,very high,low,very good,16,6,5,5,yes
GP,M,16,Urban,LE3,together,higher education,secondary education,health,other,home,father,<15 min,<2 hrs,0,no,no,yes,yes,yes,yes,yes,no,moderate,very low,moderate,very low,very good,4,8,10,10,yes
GP,M,15,Urban,GT3,together,higher education,secondary education,teacher,other,reputation,mother,<15 min,2-5 hrs,0,no,no,no,no,yes,yes,yes,no,good,high,very low,very low,very bad,0,13,14,15,no
GP,M,15,Urban,GT3,together,higher education,higher education,health,health,other,father,<15 min,<2 hrs,0,no,yes,yes,no,yes,yes,yes,no,excellent,high,low,very low,very good,0,12,15,15,no
GP,M,16,Urban,LE3,together,higher education,5th - 9th grade,teacher,other,course,mother,<15 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,no,good,very high,very low,very low,very good,2,15,15,16,yes
GP,M,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,other,other,reputation,mother,15-30 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,high,low,very good,0,13,13,12,yes
GP,F,15,Rural,GT3,together,5th - 9th grade,higher education,services,health,course,mother,<15 min,5-10 hrs,0,yes,yes,yes,yes,yes,yes,yes,no,good,moderate,low,very low,very good,2,10,9,8,no
GP,F,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,services,services,home,mother,<15 min,<2 hrs,2,no,yes,yes,no,no,yes,yes,no,very bad,low,low,very low,very good,14,6,9,8,yes
GP,M,15,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,<15 min,<2 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,low,low,very low,very good,2,12,12,11,yes
GP,M,15,Urban,GT3,together,higher education,5th - 9th grade,health,services,other,mother,<15 min,<2 hrs,0,no,no,yes,no,yes,yes,yes,no,bad,low,high,low,very bad,4,15,16,15,yes
GP,M,16,Urban,LE3,alone,secondary education,higher education,services,other,home,mother,<15 min,2-5 hrs,0,yes,yes,no,yes,yes,yes,yes,no,excellent,moderate,moderate,very low,very good,4,11,11,11,no
GP,M,16,Urban,GT3,together,higher education,higher education,teacher,teacher,home,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,good,high,very high,very high,very good,16,10,12,11,yes
GP,M,15,Urban,GT3,together,higher education,higher education,health,services,home,mother,<15 min,2-5 hrs,0,no,yes,yes,no,no,yes,yes,no,excellent,high,low,moderate,very good,0,9,11,12,yes
GP,M,15,Urban,GT3,together,higher education,higher education,services,services,reputation,mother,15-30 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,good,moderate,very low,very low,very good,0,17,16,17,no
GP,M,15,Rural,GT3,together,higher education,secondary education,teacher,at_home,course,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,yes,good,very high,low,very low,very good,0,17,16,16,no
GP,M,15,Urban,LE3,together,secondary education,secondary education,other,other,course,mother,<15 min,2-5 hrs,0,no,no,no,yes,no,yes,yes,no,excellent,moderate,low,very low,bad,0,8,10,12,no
GP,M,16,Urban,GT3,together,secondary education,5th - 9th grade,other,other,home,mother,<15 min,<2 hrs,0,no,yes,yes,no,no,yes,yes,no,excellent,high,moderate,very low,very good,0,12,14,15,no
GP,F,15,Urban,GT3,together,5th - 9th grade,secondary education,other,other,other,father,15-30 min,<2 hrs,0,no,yes,no,yes,yes,yes,no,no,moderate,very high,very low,very low,very good,0,8,7,6,no
GP,M,15,Urban,LE3,together,higher education,secondary education,teacher,services,home,mother,<15 min,5-10 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,moderate,very low,good,2,15,16,18,no
GP,M,16,Rural,GT3,alone,higher education,higher education,other,teacher,reputation,mother,15-30 min,5-10 hrs,0,no,yes,no,yes,yes,yes,yes,yes,bad,high,moderate,very low,very good,7,15,16,15,no
GP,F,15,Rural,GT3,together,secondary education,higher education,services,health,course,mother,<15 min,5-10 hrs,0,yes,yes,yes,yes,yes,yes,yes,no,good,moderate,low,very low,very good,2,12,12,11,no
GP,F,15,Rural,GT3,together,5th - 9th grade,5th - 9th grade,at_home,other,reputation,mother,<15 min,<2 hrs,0,yes,yes,yes,yes,yes,yes,no,no,good,moderate,very low,very low,bad,8,14,13,13,no
GP,F,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,15-30 min,2-5 hrs,1,no,yes,no,yes,no,yes,yes,yes,moderate,moderate,moderate,very low,moderate,25,7,10,11,yes
GP,M,15,Urban,LE3,together,higher education,higher education,teacher,other,home,other,<15 min,<2 hrs,0,no,yes,no,no,no,yes,yes,yes,excellent,high,moderate,low,very good,8,12,12,12,yes
GP,M,15,Urban,GT3,together,higher education,higher education,services,teacher,course,father,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,good,moderate,moderate,very low,very good,2,19,18,18,no
GP,M,15,Urban,GT3,together,5th - 9th grade,5th - 9th grade,services,services,course,father,<15 min,<2 hrs,0,yes,yes,no,no,yes,yes,yes,no,excellent,high,very low,very low,very bad,0,8,8,11,no
GP,F,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,other,at_home,course,father,15-30 min,2-5 hrs,1,yes,no,no,yes,yes,yes,yes,no,good,moderate,moderate,low,very good,14,10,10,9,yes
GP,F,15,Urban,LE3,alone,higher education,secondary education,other,other,course,mother,<15 min,2-5 hrs,0,yes,yes,yes,yes,yes,yes,yes,yes,excellent,low,low,very low,very good,8,8,8,6,no
GP,F,16,Urban,LE3,alone,secondary education,secondary education,other,services,home,mother,<15 min,2-5 hrs,0,no,yes,no,no,yes,yes,yes,no,bad,moderate,very high,very low,moderate,12,11,12,11,yes
GP,M,16,Urban,GT3,together,higher education,secondary education,health,services,reputation,mother,<15 min,>10 hrs,0,no,no,no,yes,yes,yes,yes,no,good,low,low,very low,bad,4,19,19,20,no
GP,M,15,Urban,GT3,together,higher education,5th - 9th grade,teacher,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,no,no,good,moderate,moderate,low,very good,2,15,15,14,yes
GP,F,15,Urban,GT3,together,higher education,higher education,services,teacher,other,father,<15 min,2-5 hrs,1,yes,yes,no,yes,no,yes,yes,no,good,high,high,very low,moderate,2,7,7,7,no
GP,F,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,services,services,course,mother,30 min - 1 hr,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,moderate,moderate,low,good,2,12,13,13,yes
GP,F,15,Urban,LE3,together,higher education,5th - 9th grade,health,other,other,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,moderate,moderate,very low,very good,2,11,13,13,no
GP,M,15,Urban,LE3,alone,higher education,5th - 9th grade,health,health,other,father,15-30 min,<2 hrs,1,no,no,no,no,yes,yes,no,no,excellent,very high,very high,moderate,very good,6,11,11,10,yes
GP,F,15,Urban,GT3,together,higher education,higher education,services,services,course,mother,<15 min,<2 hrs,0,yes,yes,yes,no,yes,yes,yes,no,moderate,moderate,high,low,very good,0,8,10,11,yes
GP,F,15,Urban,LE3,alone,secondary education,secondary education,other,other,other,mother,<15 min,<2 hrs,0,no,no,yes,no,yes,yes,yes,no,excellent,moderate,high,high,very bad,6,10,13,13,yes
GP,F,16,Urban,GT3,alone,5th - 9th grade,4th grade,other,other,other,mother,<15 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,yes,excellent,moderate,high,very low,bad,8,8,9,10,no
GP,F,15,Urban,GT3,alone,higher education,secondary education,services,services,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,moderate,low,very low,very bad,0,14,15,15,no
GP,M,15,Urban,GT3,together,higher education,higher education,teacher,health,reputation,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,no,no,moderate,low,low,very low,very good,4,14,15,15,no
GP,M,15,Urban,LE3,together,4th grade,5th - 9th grade,other,at_home,home,father,<15 min,2-5 hrs,0,yes,yes,no,yes,yes,yes,yes,no,good,moderate,low,very low,very good,2,9,10,9,no
GP,F,16,Urban,GT3,together,higher education,5th - 9th grade,services,other,course,mother,<15 min,2-5 hrs,0,no,yes,no,no,yes,yes,yes,no,good,low,moderate,very low,very good,2,15,16,16,no
GP,F,16,Rural,GT3,together,higher education,higher education,health,teacher,other,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,no,no,bad,high,high,low,good,6,10,11,11,yes
GP,F,16,Urban,GT3,together,4th grade,4th grade,services,services,course,father,>1 hr,<2 hrs,0,yes,yes,no,yes,no,yes,yes,yes,excellent,very high,very high,very high,very good,6,10,8,11,yes
GP,F,16,Urban,LE3,together,4th grade,5th - 9th grade,other,services,reputation,father,<15 min,2-5 hrs,0,yes,no,no,yes,yes,yes,yes,no,good,high,moderate,very low,very bad,4,8,10,9,no
GP,F,16,Urban,GT3,together,higher education,secondary education,teacher,health,home,mother,<15 min,5-10 hrs,0,yes,yes,yes,yes,yes,yes,yes,no,moderate,high,high,low,good,2,10,9,9,yes
GP,F,15,Urban,LE3,together,higher education,secondary education,services,services,reputation,father,<15 min,2-5 hrs,0,yes,no,no,yes,yes,yes,yes,yes,good,high,high,low,bad,0,10,10,10,yes
GP,F,16,Urban,LE3,together,higher education,secondary education,teacher,services,course,mother,30 min - 1 hr,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,moderate,very low,very bad,2,16,15,15,yes
GP,M,15,Urban,GT3,alone,higher education,higher education,other,services,reputation,mother,<15 min,>10 hrs,0,no,yes,no,yes,no,yes,yes,yes,very bad,moderate,moderate,very high,moderate,4,13,13,12,yes
GP,F,16,Urban,GT3,together,secondary education,4th grade,services,other,course,mother,<15 min,>10 hrs,0,yes,yes,yes,no,yes,yes,yes,no,good,moderate,moderate,very low,very good,4,7,7,6,yes
GP,F,15,Rural,LE3,together,5th - 9th grade,5th - 9th grade,health,services,reputation,mother,15-30 min,2-5 hrs,0,yes,yes,yes,no,yes,yes,yes,no,good,very low,moderate,very low,good,2,8,9,8,yes
GP,F,15,Rural,LE3,together,secondary education,4th grade,other,other,reputation,father,15-30 min,>10 hrs,0,no,yes,no,no,no,yes,yes,no,good,high,low,low,moderate,12,16,16,16,yes
GP,M,16,Urban,GT3,together,secondary education,4th grade,other,other,reputation,father,15-30 min,>10 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,moderate,low,very low,very good,0,13,15,15,no
GP,M,15,Urban,GT3,together,higher education,5th - 9th grade,other,other,course,mother,<15 min,>10 hrs,0,no,no,no,no,yes,yes,yes,no,moderate,moderate,moderate,very low,moderate,0,10,10,10,no
GP,F,15,Rural,GT3,together,4th grade,4th grade,other,other,reputation,mother,<15 min,2-5 hrs,2,yes,yes,no,no,no,yes,yes,yes,moderate,moderate,high,low,very good,2,8,6,5,yes
GP,M,16,Urban,GT3,together,secondary education,4th grade,other,other,reputation,mother,<15 min,<2 hrs,0,no,no,no,yes,yes,yes,no,no,excellent,moderate,low,low,very good,2,12,12,14,yes
GP,F,16,Urban,GT3,together,secondary education,secondary education,other,services,home,mother,<15 min,2-5 hrs,0,yes,yes,yes,yes,yes,yes,yes,no,good,moderate,moderate,low,very good,54,11,12,11,yes
GP,M,15,Urban,GT3,together,higher education,secondary education,teacher,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,moderate,moderate,low,very good,6,9,9,10,yes
GP,M,15,Urban,GT3,together,higher education,none,teacher,other,course,mother,15-30 min,>10 hrs,0,no,no,no,yes,yes,yes,yes,no,moderate,high,moderate,very low,very bad,8,11,11,10,no
GP,F,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,reputation,mother,<15 min,>10 hrs,0,no,no,yes,no,yes,yes,yes,yes,excellent,low,moderate,very low,moderate,0,11,11,11,yes
GP,M,17,Urban,GT3,together,5th - 9th grade,4th grade,other,other,home,mother,15-30 min,<2 hrs,3,yes,yes,no,yes,yes,no,yes,no,good,very high,very low,very low,moderate,2,8,8,10,no
GP,F,16,Urban,GT3,together,secondary education,higher education,at_home,other,course,mother,<15 min,2-5 hrs,0,no,yes,no,no,yes,yes,yes,no,bad,high,moderate,very low,moderate,12,5,5,5,yes
GP,M,15,Urban,GT3,together,5th - 9th grade,secondary education,other,services,course,father,<15 min,<2 hrs,0,yes,yes,yes,yes,no,yes,yes,yes,moderate,low,low,very low,moderate,2,10,12,12,yes
GP,M,15,Urban,GT3,together,5th - 9th grade,secondary education,other,other,home,mother,<15 min,5-10 hrs,0,yes,no,yes,no,no,yes,yes,no,excellent,moderate,low,very low,very good,4,11,10,11,yes
GP,F,15,Urban,LE3,together,secondary education,5th - 9th grade,services,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,high,high,very low,very good,10,7,6,6,no
GP,M,15,Urban,LE3,together,5th - 9th grade,5th - 9th grade,services,services,home,mother,15-30 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,no,excellent,moderate,moderate,very low,good,4,15,15,15,yes
GP,F,15,Urban,GT3,together,4th grade,4th grade,other,other,home,father,<15 min,2-5 hrs,0,no,yes,no,yes,no,yes,yes,no,good,moderate,low,low,good,2,9,10,10,yes
GP,F,15,Urban,GT3,together,higher education,higher education,services,services,reputation,father,15-30 min,2-5 hrs,2,no,no,yes,no,yes,yes,yes,yes,good,high,high,low,very good,6,7,9,8,yes
GP,F,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,at_home,other,course,mother,<15 min,2-5 hrs,0,no,yes,no,no,yes,yes,no,no,good,moderate,high,very low,bad,4,8,7,6,yes
GP,F,15,Urban,GT3,together,higher education,5th - 9th grade,other,other,reputation,mother,<15 min,5-10 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,moderate,moderate,very low,very bad,4,13,14,14,yes
GP,M,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,services,other,reputation,father,15-30 min,2-5 hrs,1,no,no,yes,yes,no,yes,yes,no,good,high,low,very low,moderate,12,11,10,10,no
GP,M,16,Urban,LE3,alone,higher education,higher education,teacher,health,reputation,mother,<15 min,2-5 hrs,0,no,yes,no,no,yes,yes,no,no,good,very low,moderate,moderate,very good,18,8,6,7,yes
GP,F,16,Urban,GT3,together,secondary education,secondary education,other,other,home,mother,<15 min,5-10 hrs,0,no,yes,yes,no,yes,yes,yes,yes,good,moderate,moderate,very low,good,0,7,7,8,yes
GP,F,15,Urban,GT3,together,higher education,secondary education,services,other,reputation,mother,<15 min,<2 hrs,0,no,no,yes,yes,yes,yes,yes,no,good,very high,very high,very low,very bad,4,16,17,18,yes
GP,F,16,Urban,LE3,together,secondary education,4th grade,other,other,home,father,<15 min,2-5 hrs,0,yes,yes,no,no,yes,yes,no,no,moderate,moderate,moderate,low,bad,4,7,6,6,yes
GP,F,16,Urban,GT3,together,higher education,5th - 9th grade,teacher,services,home,mother,15-30 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,moderate,moderate,very low,very bad,0,11,10,10,no
GP,M,15,Urban,LE3,together,5th - 9th grade,5th - 9th grade,services,health,reputation,mother,<15 min,>10 hrs,0,no,yes,no,yes,yes,yes,yes,no,good,moderate,high,very low,good,6,11,13,14,no
GP,F,15,Rural,GT3,together,4th grade,4th grade,at_home,other,home,mother,15-30 min,>10 hrs,1,yes,yes,yes,yes,yes,yes,yes,no,moderate,very low,low,very low,very bad,2,7,10,10,no
GP,M,16,Rural,GT3,together,higher education,secondary education,services,other,reputation,mother,15-30 min,<2 hrs,0,yes,yes,no,yes,no,yes,yes,no,moderate,moderate,moderate,very low,good,2,11,15,15,no
GP,F,16,Urban,GT3,together,5th - 9th grade,4th grade,other,other,course,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,no,yes,good,moderate,very high,very low,very good,2,8,9,10,no
GP,F,16,Urban,GT3,together,higher education,higher education,other,other,reputation,mother,<15 min,<2 hrs,0,no,no,no,yes,no,yes,yes,no,excellent,moderate,high,very low,very bad,6,11,14,14,yes
GP,F,16,Urban,GT3,together,higher education,secondary education,other,at_home,course,mother,<15 min,5-10 hrs,0,yes,yes,yes,no,yes,yes,yes,no,excellent,moderate,very high,very low,moderate,0,7,9,8,no
GP,M,16,Urban,GT3,together,higher education,higher education,services,services,other,mother,<15 min,<2 hrs,0,yes,yes,yes,yes,yes,yes,yes,no,good,very high,very high,very high,good,14,7,7,5,yes
GP,M,16,Urban,GT3,together,higher education,higher education,services,teacher,other,father,<15 min,5-10 hrs,0,no,yes,no,yes,yes,yes,yes,yes,good,high,moderate,very low,good,0,16,17,17,no
GP,M,15,Urban,GT3,together,higher education,higher education,services,other,course,mother,<15 min,<2 hrs,0,no,yes,no,yes,no,yes,yes,no,excellent,moderate,moderate,very low,very good,4,10,13,14,no
GP,F,15,Urban,GT3,together,secondary education,5th - 9th grade,services,other,home,mother,15-30 min,2-5 hrs,0,yes,yes,yes,no,yes,yes,yes,no,good,moderate,very high,very low,bad,26,7,6,6,no
GP,M,15,Urban,GT3,alone,secondary education,higher education,services,other,course,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,high,high,very low,very bad,0,16,18,18,no
GP,F,15,Urban,GT3,alone,secondary education,secondary education,other,health,reputation,father,<15 min,>10 hrs,0,yes,no,no,no,yes,yes,no,no,good,moderate,moderate,very low,good,10,10,11,11,no
GP,F,15,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,course,mother,<15 min,>10 hrs,0,yes,yes,yes,no,yes,yes,yes,no,excellent,very low,low,very low,moderate,8,7,8,8,no
GP,M,16,Urban,GT3,together,secondary education,secondary education,services,other,home,father,<15 min,5-10 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,moderate,moderate,very low,very good,2,16,18,18,no
GP,M,15,Rural,GT3,together,higher education,higher education,other,other,home,father,>1 hr,>10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,very bad,moderate,very high,moderate,very bad,6,10,13,13,yes
GP,F,16,Urban,LE3,together,higher education,higher education,health,health,other,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,excellent,high,very high,very low,good,4,14,15,16,no
GP,M,15,Urban,LE3,alone,higher education,higher education,teacher,teacher,course,mother,<15 min,<2 hrs,0,no,no,no,yes,yes,yes,yes,no,excellent,very high,moderate,very low,good,6,18,19,19,no
GP,F,16,Rural,GT3,together,secondary education,secondary education,services,other,reputation,father,<15 min,5-10 hrs,1,yes,yes,no,yes,yes,yes,yes,no,good,very low,low,very low,bad,0,7,10,10,no
GP,F,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,at_home,other,home,mother,<15 min,2-5 hrs,1,yes,no,no,yes,yes,yes,yes,no,moderate,very low,low,very low,very good,6,10,13,13,no
GP,M,15,Urban,LE3,together,higher education,5th - 9th grade,teacher,other,course,mother,<15 min,<2 hrs,0,no,no,no,no,yes,yes,yes,no,moderate,very high,low,very low,moderate,10,18,19,19,no
GP,M,15,Rural,GT3,together,5th - 9th grade,4th grade,health,services,reputation,mother,<15 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,yes,excellent,high,low,very low,very good,8,9,9,9,no
GP,M,16,Urban,GT3,together,higher education,higher education,teacher,teacher,course,father,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,high,very low,very good,2,15,15,16,yes
GP,M,15,Urban,GT3,together,higher education,higher education,other,teacher,reputation,father,15-30 min,2-5 hrs,0,no,yes,no,yes,yes,yes,no,no,good,high,moderate,very low,bad,2,11,13,14,no
GP,M,16,Urban,GT3,together,secondary education,secondary education,other,services,home,father,15-30 min,<2 hrs,0,no,no,no,yes,yes,yes,yes,no,excellent,high,low,very low,very good,0,13,14,13,no
GP,M,17,Rural,GT3,together,4th grade,secondary education,other,other,course,father,30 min - 1 hr,2-5 hrs,1,no,yes,no,yes,yes,yes,yes,no,excellent,low,high,very low,very good,20,9,7,8,yes
GP,M,15,Urban,GT3,together,secondary education,higher education,other,other,reputation,father,<15 min,<2 hrs,0,no,no,no,no,yes,yes,yes,no,moderate,high,moderate,very low,good,6,14,13,13,yes
GP,F,15,Urban,GT3,together,4th grade,5th - 9th grade,at_home,services,course,mother,<15 min,2-5 hrs,0,no,no,no,no,no,yes,yes,no,moderate,low,moderate,very low,very bad,2,16,15,15,yes
GP,M,15,Urban,GT3,together,5th - 9th grade,5th - 9th grade,services,services,home,father,<15 min,>10 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,very high,high,very low,very good,6,16,14,15,yes
GP,F,16,Urban,LE3,together,5th - 9th grade,higher education,other,health,course,father,15-30 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,good,low,low,very low,very good,2,13,13,13,yes
GP,M,16,Urban,GT3,together,higher education,higher education,health,other,course,mother,<15 min,<2 hrs,0,no,yes,no,yes,yes,yes,yes,no,moderate,high,high,very low,very good,18,14,11,13,yes
GP,F,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,<15 min,2-5 hrs,0,no,no,yes,no,yes,yes,yes,yes,excellent,high,high,very low,very good,0,8,7,8,no
GP,M,15,Urban,GT3,together,secondary education,higher education,services,services,home,father,<15 min,<2 hrs,0,yes,no,no,no,yes,yes,yes,no,excellent,very high,very high,moderate,very good,0,13,13,12,yes
GP,F,15,Urban,LE3,alone,secondary education,higher education,other,other,home,mother,<15 min,2-5 hrs,0,yes,no,no,yes,yes,yes,yes,yes,excellent,moderate,low,very low,very bad,0,7,10,11,no
GP,F,19,Urban,GT3,together,none,4th grade,at_home,other,course,other,<15 min,2-5 hrs,3,no,yes,no,no,no,no,no,no,moderate,high,low,very low,very good,2,7,8,9,no
GP,M,18,Rural,GT3,together,5th - 9th grade,5th - 9th grade,services,other,reputation,mother,<15 min,<2 hrs,2,no,yes,no,yes,yes,yes,yes,no,moderate,moderate,moderate,very low,good,0,7,4,0,yes
